,CITY,POPULATION
426,Kandhamal,"731,952"
427,Koraput,"1,376,934"
428,Kendrapara,"1,439,891"
429,Malkangiri,"612,727"
430,Mayurbhanj,"2,513,895"
431,Nabarangpur,"1,218,762"
432,Nuapada,"606,490"
433,Nayagarh,"962,215"
434,Puri,"1,697,983"
435,Rayagada,"961,959"
436,Sambalpur,"1,044,410"
437,Subarnapur (Sonepur),"652,107"
438,Sundargarh,"2,080,664"
439,Amritsar,"2,490,891"
440,Barnala,"596,294"
441,Bathinda,"1,388,859"
442,Firozpur,"2,026,831"
443,Faridkot,"618,008"
444,Fatehgarh Sahib,"599,814"
445,Fazilka[13],Survey Pending
446,Gurdaspur,"2,299,026"
447,Hoshiarpur,"1,582,793"
448,Jalandhar,"2,181,753"
449,Kapurthala,"817,668"
450,Ludhiana,"3,487,882"
451,Mansa,"768,808"
452,Moga,"992,289"
453,Sri Muktsar Sahib,"902,702"
454,Pathankot,"626,154"
455,Patiala,"2,892,282"
456,Rupnagar,"683,349"
457,Sahibzada Ajit Singh Nagar,"986,147"
458,Sangrur,"1,654,408"
459,Shahid Bhagat Singh Nagar,"614,362"
460,Tarn Taran,"1,120,070"
461,Ajmer,"2,584,913"
462,Alwar,"3,671,999"
463,Bikaner,"2,367,745"
464,Barmer,"2,604,453"
465,Banswara,"1,798,194"
466,Bharatpur,"2,549,121"
467,Baran,"1,223,921"
468,Bundi,"1,113,725"
469,Bhilwara,"2,410,459"
470,Churu,"2,041,172"
471,Chittorgarh,"1,544,392"
472,Dausa,"1,637,226"
473,Dholpur,"1,207,293"
474,Dungarpur,"1,388,906"
475,Ganganagar,"1,969,520"
476,Hanumangarh,"1,779,650"
477,Jhunjhunu,"2,139,658"
478,Jalore,"1,830,151"
479,Jodhpur,"3,685,681"
480,Jaipur,"6,663,971"
481,Jaisalmer,"672,008"
482,Jhalawar,"1,411,327"
483,Karauli,"1,458,459"
484,Kota,"1,950,491"
485,Nagaur,"3,309,234"
486,Pali,"2,038,533"
487,Pratapgarh,"868,231"
488,Rajsamand,"1,158,283"
489,Sikar,"2,677,737"
490,Sawai Madhopur,"1,338,114"
491,Sirohi,"1,037,185"
492,Tonk,"1,421,711"
493,Udaipur,"3,067,549"
494,East Sikkim,"281,293"
495,North Sikkim,"43,354"
496,South Sikkim,"146,742"
497,West Sikkim,"136,299"
498,Ariyalur,"752,481"
499,Chengalpattu,Survey pending
500,Chennai,"4,681,087"
501,Coimbatore,"3,472,578"
502,Cuddalore,"2,600,880"
503,Dharmapuri,"1,502,900"
504,Dindigul,"2,161,367"
505,Erode,"2,259,608"
506,Kallakurichi,Survey pending
507,Kanchipuram,"3,990,897"
508,Kanyakumari,"1,863,178"
509,Karur,"1,076,588"
510,Krishnagiri,"1,883,731"
511,Madurai,"3,991,038"
512,Nagapattinam,"1,614,069"
513,Nilgiris,"735,071"
514,Namakkal,"1,721,179"
515,Perambalur,"564,511"
516,Pudukkottai,"1,918,725"
517,Ramanathapuram,"1,337,560"
518,Ranipet,Survey pending
519,Salem,"3,480,008"
520,Sivaganga,"1,341,250"
521,Tenkasi,Survey pending
522,Tirupur,"2,471,222"
523,Tiruchirappalli,"2,713,858"
524,Theni,"1,243,684"
525,Tirunelveli,"3,072,880"
526,Thanjavur,"2,402,781"
527,Thoothukudi,"1,738,376"
528,Tirupattur,"1,787"
529,Tiruvallur,"3,725,697"
530,Tiruvarur,"1,268,094"
531,Tiruvannamalai,"2,468,965"
532,Vellore,"3,928,106"
533,Viluppuram,"3,463,284"
534,Virudhunagar,"1,943,309"
535,Adilabad,"708,952"
536,Komaram Bheem,"515,835"
537,Bhadradri Kothagudem,"1,304,811"
538,Hyderabad,"3,441,992"
539,Jagtial,"983,414"
540,Jangaon,"582,457"
541,Jayashankar Bhupalpally,"712,257"
542,Jogulamba Gadwal,"664,971"
543,Kamareddy,"972,625"
544,Karimnagar,"1,016,063"
545,Khammam,"1,401,639"
546,Mahabubabad,"770,170"
547,Mahbubnagar,"1,318,110"
548,Mancherial,"807,037"
549,Medak,"767,428"
550,Medchal-Malkajgiri ,"2,542,203"
551,Nalgonda,"1,631,399"
552,Nagarkurnool,"893,308"
553,Nirmal,"709,415"
554,Nizamabad,"1,534,428"
555,Peddapalli,"795,332"
556,Rajanna Sircilla,"546,121"
557,Ranga Reddy,"2,551,731"
558,Sangareddy,"1,527,628"
559,Siddipet,"993,376"
560,Suryapet,"1,099,560"
561,Vikarabad,"881,250"
562,Wanaparthy,"751,553"
563,Warangal Urban,"1,135,707"
564,Warangal Rural,"716,457"
565,Yadadri Bhuvanagiri,"726,465"
566,Dhalai,"377,988"
567,Gomati,"4,36,868"
568,Khowai[14],"3,27,391"
569,North Tripura,"4,15,946"
570,Sepahijala[15],"4,84,233"
571,South Tripura,"4,33,737"
572,Unokoti[16],"2,77,335"
573,West Tripura,"9,17,534"
574,Agra,"4,380,793"
575,Aligarh,"3,673,849"
576,Allahabad,"5,959,798"
577,Ambedkar Nagar,"2,398,709"
578,Amethi[17],Survey Pending
579,Amroha,"1,838,771"
580,Auraiya,"1,372,287"
581,Azamgarh,"4,616,509"
582,Bagpat,"1,302,156"
583,Bahraich,"2,384,239"
584,Ballia,"3,223,642"
585,Balrampur,"2,149,066"
586,Banda,"1,799,541"
587,Barabanki,"3,257,983"
588,Bareilly,"4,465,344"
589,Basti,"2,461,056"
590,Bhadohi,"1,554,203"
591,Bijnor,"3,683,896"
592,Budaun,"3,712,738"
593,Bulandshahr,"3,498,507"
594,Chandauli,"1,952,713"
